No,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,Y house price of unit area
46.37,2013.05,5.33,158.6,5.86,25.0,121.47,34.79
239.05,2013.2,30.24,2069.49,5.68,24.96,121.52,43.95
354.8,2013.2,29.75,3173.54,4.0,24.93,121.47,27.98
207.44,2012.91,28.44,711.36,2.75,25.0,121.57,28.55
364.96,2013.16,8.02,1343.93,6.21,24.94,121.52,52.19
228.35,2013.31,21.79,23.38,5.75,24.94,121.57,45.01
342.88,2013.09,0.14,40.61,3.34,24.98,121.49,35.54
130.11,2013.03,14.17,2400.88,1.39,24.97,121.48,36.55
24.27,2013.14,25.22,23.38,7.54,25.01,121.56,43.17
126.16,2012.75,43.8,1649.25,5.91,24.93,121.52,28.26
178.17,2013.57,9.33,1264.57,4.37,24.95,121.57,33.03
84.19,2013.09,20.97,2107.45,2.96,24.97,121.57,33.77
214.38,2013.25,21.82,738.14,4.47,24.93,121.57,40.95
100.12,2013.49,9.63,1644.0,2.45,24.97,121.57,54.78
23.64,2013.37,35.91,901.77,7.64,24.93,121.51,28.72
345.21,2013.44,3.24,575.11,1.56,24.93,121.5,59.24
289.92,2012.92,27.7,23.38,2.34,25.01,121.54,35.61
316.58,2013.42,14.74,2042.79,0.0,25.01,121.54,41.84
322.64,2013.09,34.85,703.95,5.36,24.99,121.53,35.43
249.64,2013.2,20.02,2176.07,2.29,24.95,121.47,42.16
187.72,2013.58,14.8,1933.7,2.25,25.01,121.49,25.79
363.9,2012.98,19.72,873.03,3.06,24.93,121.52,30.23
1.0,2012.86,27.48,1060.88,5.42,24.94,121.48,43.45
152.71,2013.4,21.67,1019.86,5.32,24.95,121.55,37.76
247.81,2012.86,6.21,959.49,3.45,24.93,121.47,40.47
32.59,2013.29,11.47,302.29,5.63,24.93,121.57,38.72
1.0,2013.53,40.69,659.31,5.55,24.93,121.53,44.81
236.08,2012.88,17.46,3266.98,7.48,25.01,121.51,32.05
236.14,2013.53,30.21,1437.49,1.51,24.97,121.47,34.24
113.86,2013.46,0.0,375.51,1.32,24.94,121.57,44.79
119.78,2013.18,13.74,1990.07,1.63,24.93,121.54,31.68
139.14,2012.71,28.66,23.38,7.06,24.95,121.55,66.85
170.62,2013.07,13.17,23.38,4.06,24.95,121.57,72.93
362.87,2013.54,0.0,1987.98,3.43,25.01,121.53,33.52
198.01,2012.84,23.23,23.38,8.03,24.93,121.54,48.42
222.81,2013.54,12.0,1745.74,8.75,24.98,121.49,51.66
300.86,2013.16,14.95,755.69,3.07,24.96,121.57,37.33
96.29,2013.31,11.05,23.38,6.69,24.93,121.5,43.9
207.69,2013.38,9.85,1049.56,4.27,24.95,121.52,44.06
103.04,2013.49,12.3,597.35,6.99,25.01,121.54,51.01
1.49,2012.83,23.1,315.26,6.41,25.01,121.51,25.96
248.69,2013.37,22.26,552.69,7.67,24.99,121.56,39.44
267.86,2013.33,13.88,2057.09,1.47,24.97,121.57,27.37
375.43,2013.19,33.59,769.84,3.56,24.93,121.47,23.13
311.38,2013.2,17.47,452.95,6.86,24.96,121.57,46.93
72.53,2013.22,28.53,748.32,6.96,25.01,121.51,42.46
205.6,2012.94,5.11,1484.39,4.69,24.99,121.57,29.82
195.34,2013.58,8.06,459.6,4.85,24.97,121.51,67.51
12.68,2012.86,14.12,2053.22,3.06,24.99,121.54,37.89
89.32,2013.58,26.26,1869.78,0.0,24.93,121.57,20.07
246.72,2013.11,16.4,2796.63,0.0,24.99,121.51,25.68
252.48,2013.58,18.87,898.93,1.67,24.93,121.56,35.48
144.34,2013.18,6.77,23.38,5.46,24.95,121.57,63.63
93.87,2012.93,36.0,1475.9,9.22,24.95,121.47,53.27
103.58,2013.38,14.05,2213.95,5.68,24.95,121.49,55.08
292.61,2012.86,33.57,328.75,3.76,24.93,121.51,30.02
192.61,2012.95,10.14,1577.54,0.82,24.97,121.57,33.9
407.3,2012.91,16.02,1568.61,4.58,25.01,121.56,45.02
133.23,2013.06,11.2,2041.99,4.23,24.98,121.56,41.75
76.92,2013.58,11.12,2811.88,2.5,25.01,121.47,7.6
313.87,2012.72,24.3,1287.21,5.44,24.93,121.56,36.07
6.37,2013.07,17.53,23.38,10.0,24.96,121.57,46.87
382.11,2013.17,28.06,2119.9,0.0,24.93,121.47,32.58
343.16,2013.12,20.25,1861.83,4.37,24.96,121.47,28.54
217.37,2012.73,13.13,1113.72,5.18,24.98,121.54,34.69
151.12,2013.08,31.17,2879.03,2.21,24.99,121.47,25.93
400.56,2013.35,10.2,950.49,6.0,24.93,121.57,49.27
249.67,2013.32,7.07,1962.97,4.41,25.01,121.47,30.77
262.65,2013.18,9.03,4191.08,0.0,24.93,121.57,14.0
215.45,2013.29,16.73,23.38,7.4,24.99,121.52,49.33
74.96,2013.58,30.9,1765.3,5.59,24.95,121.57,58.91
77.98,2012.83,11.47,4105.79,0.99,24.93,121.48,14.52
99.94,2012.91,30.93,23.38,6.14,24.93,121.53,29.85
287.96,2013.25,24.2,1333.57,6.84,24.93,121.5,41.09
196.35,2013.36,14.1,571.63,6.2,25.01,121.56,49.48
108.84,2012.98,1.68,658.78,1.79,24.97,121.53,55.28
90.92,2013.47,21.26,3407.24,4.18,24.93,121.51,7.6
116.33,2013.24,15.97,267.88,4.17,25.01,121.49,25.16
285.74,2012.96,23.06,23.38,4.72,25.01,121.47,61.37
414.0,2013.13,27.51,1907.56,3.83,24.93,121.47,44.32
254.36,2013.55,41.43,1616.71,2.83,25.01,121.47,48.41
1.0,2013.45,2.37,1547.39,6.51,24.99,121.57,25.32
216.91,2013.18,16.92,1198.55,4.75,24.95,121.51,38.61
70.98,2013.02,17.85,1815.12,0.0,24.96,121.57,15.26
351.54,2012.99,26.13,378.01,0.52,25.01,121.57,18.86
253.98,2012.84,12.72,23.38,3.24,25.0,121.52,43.47
81.06,2013.01,20.77,23.38,4.5,25.0,121.55,37.48
274.46,2013.24,2.68,1091.69,1.77,24.93,121.57,49.53
52.31,2012.83,31.13,2033.53,0.0,24.95,121.51,7.6
81.31,2013.04,19.99,1731.65,2.6,25.01,121.56,33.46
297.95,2012.67,12.7,337.94,4.79,24.93,121.55,38.34
342.88,2013.22,10.26,1775.92,6.35,24.98,121.53,29.32
1.0,2013.52,13.08,629.94,5.04,24.98,121.55,45.98
322.96,2013.19,14.22,975.33,6.52,24.97,121.57,51.9
1.0,2012.67,29.98,1895.82,1.47,25.01,121.48,27.72
114.67,2013.58,0.0,1777.23,3.87,24.98,121.47,42.38
116.47,2013.58,26.62,2728.85,2.63,24.98,121.47,29.97
169.7,2013.06,14.84,1784.78,4.85,24.97,121.47,28.25
63.63,2013.38,17.9,613.45,8.3,24.96,121.52,44.42
230.52,2012.67,13.54,427.84,3.25,24.93,121.47,37.39
279.9,2013.18,13.01,87.61,6.45,24.93,121.51,47.79
310.53,2012.97,9.16,494.94,8.12,24.95,121.56,50.6
41.36,2013.15,17.7,658.28,3.65,24.97,121.5,23.83
108.9,2013.58,21.45,2200.75,2.8,24.93,121.57,45.42
237.73,2012.96,9.3,2744.55,4.85,24.93,121.57,25.84
164.43,2013.0,29.89,74.54,3.69,25.0,121.47,28.9
314.91,2013.12,17.52,1676.31,1.34,24.98,121.57,18.6
135.79,2013.09,21.92,1436.86,5.86,24.93,121.48,16.73
191.11,2012.97,12.02,2123.58,0.0,24.95,121.57,34.04
89.98,2012.8,9.95,1944.32,0.0,24.97,121.49,20.29
154.86,2012.87,11.38,23.38,7.28,24.98,121.53,61.82
51.69,2013.39,14.97,477.38,5.02,24.98,121.48,38.78
229.27,2013.45,10.92,1116.76,4.33,24.93,121.47,40.33
181.48,2012.81,26.69,576.95,1.37,24.94,121.51,36.65
81.52,2013.29,30.39,942.73,5.0,24.96,121.57,42.81
334.9,2013.08,9.46,119.56,9.09,24.95,121.51,59.0
56.24,2012.82,17.11,23.38,10.0,25.01,121.54,49.38
205.49,2013.51,23.03,1992.75,0.29,24.95,121.54,19.04
393.9,2012.88,21.28,23.38,7.63,25.01,121.57,55.65
11.91,2013.21,27.06,2439.27,1.45,25.01,121.51,18.47
43.67,2013.22,25.67,23.38,2.71,24.97,121.49,45.73
363.39,2013.08,7.48,2096.33,5.07,24.93,121.47,46.34
354.3,2012.67,10.87,1424.7,1.66,25.01,121.54,37.01
148.83,2013.2,0.0,1900.35,3.39,25.01,121.47,43.94
313.94,2012.85,20.35,1422.71,3.28,25.01,121.56,39.19
199.55,2013.36,22.26,23.38,7.91,24.93,121.57,48.55
170.52,2013.2,0.0,503.5,9.42,24.97,121.53,49.49
210.09,2013.04,15.47,1107.01,3.52,24.93,121.51,29.91
166.63,2013.1,19.57,23.38,10.0,24.98,121.49,62.48
35.61,2013.01,23.63,23.38,6.89,24.93,121.57,35.83
198.62,2013.21,3.55,23.38,6.46,25.01,121.47,57.28
101.72,2013.13,32.2,23.38,7.57,24.97,121.49,55.85
148.54,2013.44,21.34,2351.52,10.0,25.01,121.51,37.09
219.35,2012.67,17.16,881.16,2.1,24.98,121.48,28.63
298.56,2013.25,0.0,345.07,4.22,25.01,121.56,30.45
45.83,2012.73,11.27,1296.55,3.19,25.01,121.53,26.73
225.23,2013.05,14.98,1575.31,4.25,25.01,121.52,32.24
271.33,2012.9,0.0,1491.62,10.0,24.98,121.54,35.96
347.83,2013.31,6.54,23.38,2.4,24.99,121.53,51.91
131.25,2013.02,16.72,341.87,7.81,24.96,121.47,51.44
212.19,2013.51,21.97,815.19,10.0,24.95,121.52,55.44
133.1,2013.12,16.14,1225.97,3.95,25.0,121.47,42.12
197.13,2013.03,1.41,23.38,3.44,25.01,121.57,53.38
385.71,2013.07,30.34,2533.15,6.26,24.99,121.57,44.96
137.66,2013.12,0.0,1674.52,0.0,25.01,121.53,28.11
260.16,2013.35,43.8,3860.69,0.0,25.01,121.47,7.6
98.53,2013.29,18.99,683.01,5.19,24.93,121.57,51.69
354.52,2013.03,26.25,3494.36,0.0,24.95,121.51,10.77
206.77,2013.01,33.58,2901.77,4.64,25.01,121.49,25.15
201.83,2012.82,31.32,995.81,2.31,24.95,121.48,22.26
182.16,2012.98,13.61,1178.48,3.83,25.01,121.57,45.02
204.01,2013.32,43.8,1947.87,0.0,24.98,121.54,14.69
19.12,2012.75,22.18,1172.07,1.78,24.96,121.53,19.25
228.4,2013.05,17.05,1922.88,0.42,25.01,121.57,41.23
1.0,2013.05,38.54,1017.16,6.85,25.01,121.52,30.91
339.89,2013.15,23.6,1697.74,5.25,24.96,121.5,31.99
218.65,2012.99,0.32,619.5,2.88,24.93,121.52,31.35
207.59,2013.03,23.81,23.38,8.86,24.95,121.57,52.71
384.32,2013.08,7.39,289.28,2.16,25.01,121.57,31.21
171.31,2013.22,4.38,3185.66,2.15,24.93,121.47,34.43
106.74,2013.15,13.27,692.0,4.6,24.97,121.48,52.05
102.32,2012.67,0.0,2145.49,0.0,24.93,121.57,27.15
185.49,2013.17,12.86,61.4,3.81,24.96,121.57,48.76
263.06,2013.03,9.07,347.43,4.71,24.93,121.52,46.72
292.76,2013.49,25.5,23.38,6.94,24.96,121.55,55.16
133.97,2013.06,23.45,1255.38,7.11,24.96,121.5,45.47
1.0,2013.25,8.95,2628.41,0.0,25.01,121.48,26.33
224.24,2012.97,17.33,1296.83,2.89,24.99,121.47,26.64
313.49,2012.67,26.54,23.38,5.05,24.97,121.57,46.63
414.0,2013.58,35.94,313.1,4.02,24.93,121.47,49.37
256.97,2013.35,22.61,1884.01,5.47,24.93,121.57,41.84
112.51,2012.89,7.42,1269.48,5.32,24.94,121.56,22.01
1.0,2012.79,23.04,2186.4,5.52,24.94,121.48,16.15
1.0,2013.19,5.74,665.48,6.88,24.93,121.51,48.6
191.18,2013.16,18.48,23.38,10.0,25.01,121.48,49.98
65.28,2013.25,14.1,2216.36,2.34,24.96,121.47,40.19
121.78,2013.3,5.16,1198.35,0.0,25.01,121.49,41.54
87.14,2013.25,7.29,1600.71,2.3,24.93,121.57,46.86
365.09,2013.46,0.0,2140.91,1.13,24.93,121.48,32.66
220.27,2013.0,12.15,23.38,3.19,25.01,121.57,41.99
244.89,2013.49,28.26,403.66,7.08,24.96,121.47,49.66
31.78,2012.87,9.82,149.44,3.01,24.94,121.57,48.94
74.28,2013.32,9.58,760.87,7.4,25.0,121.57,53.06
71.12,2013.55,7.87,1865.1,1.87,24.97,121.57,26.49
176.5,2012.87,24.46,1223.43,2.61,24.97,121.51,38.8
208.82,2013.45,4.39,1151.81,2.97,25.01,121.55,62.56
1.0,2012.88,25.21,1789.73,1.0,25.01,121.54,7.6
33.96,2013.34,17.47,23.38,9.67,25.01,121.56,70.74
123.58,2013.08,8.94,1301.79,0.14,24.96,121.54,44.86
343.43,2012.82,5.0,1447.19,0.97,25.0,121.47,39.23
