No,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,Y house price of unit area
223.15,2013.16,3.74,1710.76,2.61,24.97,121.51,25.91
143.38,2013.58,24.83,491.28,4.73,24.96,121.55,43.14
171.63,2013.25,33.85,23.38,3.66,24.99,121.56,52.55
195.11,2013.18,27.58,396.72,5.93,24.96,121.53,32.55
334.13,2013.58,14.78,1067.12,4.68,24.96,121.54,52.28
185.8,2013.37,20.52,2015.9,6.28,24.96,121.52,32.58
414.0,2012.99,15.63,1517.88,5.22,24.97,121.52,38.85
245.82,2013.14,9.17,24.71,5.9,24.97,121.56,40.14
43.85,2013.31,14.36,2109.12,1.13,24.96,121.51,23.17
20.33,2013.16,41.29,1038.26,3.03,24.98,121.55,15.77
165.15,2013.34,5.01,806.69,6.92,24.98,121.53,53.63
146.91,2013.19,12.0,415.14,5.87,24.97,121.55,36.21
175.79,2013.28,18.87,1457.6,6.9,24.97,121.54,36.97
159.41,2013.2,0.0,880.35,3.97,24.95,121.55,50.68
1.0,2013.49,19.16,1159.5,3.95,24.97,121.52,35.14
315.07,2012.67,10.0,2082.54,2.65,24.96,121.53,50.22
267.58,2012.98,33.11,1209.65,5.95,24.95,121.52,25.98
247.37,2012.84,14.97,95.49,6.05,24.96,121.55,59.74
113.6,2013.12,37.26,1411.78,3.39,24.97,121.53,38.11
180.86,2013.05,18.19,225.64,1.8,24.96,121.54,52.03
114.96,2013.09,9.84,23.38,4.56,24.98,121.53,61.31
298.13,2013.06,30.47,774.29,5.17,24.97,121.53,40.25
33.44,2013.27,7.85,1099.91,0.59,24.95,121.54,16.23
122.44,2013.58,13.32,801.77,6.53,24.96,121.53,43.89
356.18,2013.08,13.59,1354.27,5.31,24.97,121.54,33.4
139.76,2013.39,1.65,1535.37,5.86,24.97,121.52,33.76
1.0,2012.99,7.99,1733.31,0.5,24.96,121.53,30.48
237.1,2013.58,22.19,108.5,0.2,24.99,121.55,41.56
78.04,2013.02,22.48,488.16,7.44,24.97,121.54,51.39
285.35,2013.09,0.0,1141.58,8.25,24.96,121.53,46.01
222.48,2013.19,7.94,83.63,7.53,24.97,121.55,41.66
156.11,2012.84,27.09,3311.9,0.0,24.94,121.52,7.6
290.05,2013.15,9.42,2682.95,3.3,24.94,121.54,22.82
357.27,2013.19,7.26,765.47,6.8,24.99,121.54,61.14
204.35,2013.3,25.94,2551.85,1.08,24.96,121.52,17.43
128.15,2013.58,7.83,1227.2,0.43,24.97,121.53,57.45
281.57,2012.93,22.05,1438.64,5.22,24.97,121.53,37.39
169.23,2013.31,6.6,2219.24,3.97,24.96,121.51,30.24
193.52,2013.26,7.5,1057.58,3.58,24.96,121.53,51.18
108.81,2013.28,4.76,2125.59,1.35,24.97,121.52,39.31
136.04,2013.38,16.17,1206.06,4.41,24.97,121.52,15.91
131.34,2013.4,22.61,1871.55,3.57,24.98,121.52,39.37
247.33,2013.1,15.76,42.12,7.86,24.98,121.55,52.23
180.58,2013.24,39.34,489.36,7.43,24.97,121.53,43.59
225.28,2013.29,22.96,2166.43,3.39,24.97,121.53,37.56
23.25,2013.27,17.66,1739.1,1.41,24.97,121.53,30.36
299.8,2012.85,14.91,1207.25,0.28,24.99,121.53,33.3
184.17,2013.41,0.0,2184.98,5.37,24.95,121.54,50.38
190.66,2013.21,5.01,125.67,1.92,24.96,121.55,33.09
1.0,2012.82,8.0,23.38,10.0,24.97,121.54,62.0
281.82,2012.94,16.71,23.38,7.84,24.97,121.56,51.88
145.81,2012.87,15.94,1235.73,8.29,24.98,121.53,50.1
191.11,2012.71,5.9,3041.64,0.0,24.95,121.51,31.36
42.66,2013.58,25.11,1898.13,0.01,24.96,121.55,21.43
122.08,2013.56,2.2,743.82,1.18,24.96,121.55,50.34
210.79,2012.93,39.43,1568.53,6.06,24.97,121.53,21.41
335.03,2012.94,13.11,435.44,6.35,24.97,121.55,34.27
331.6,2013.17,28.96,948.99,0.75,24.97,121.54,44.31
234.08,2013.28,7.56,942.14,4.94,24.98,121.55,37.02
46.45,2013.1,2.09,23.38,6.03,25.0,121.53,65.31
322.03,2013.49,32.82,922.49,5.54,24.97,121.55,26.49
99.18,2013.36,11.45,3213.03,0.0,24.96,121.5,11.63
232.04,2012.67,33.13,23.38,4.84,24.96,121.55,52.4
266.89,2013.39,27.63,262.8,5.71,24.98,121.54,46.43
316.44,2013.36,19.63,782.37,2.68,24.97,121.53,30.26
145.2,2013.58,21.42,23.38,8.23,24.97,121.56,44.75
315.35,2013.57,18.92,1411.95,5.13,24.97,121.53,51.97
254.94,2013.49,9.82,23.38,4.35,24.98,121.53,56.78
306.9,2013.28,11.76,23.38,7.86,24.99,121.56,65.6
175.17,2013.32,16.63,2557.76,3.49,24.97,121.52,32.67
1.0,2013.33,11.27,1449.36,1.44,24.96,121.55,44.78
252.54,2013.09,8.75,23.38,5.35,24.99,121.57,42.32
114.83,2013.2,27.78,1381.0,1.86,24.96,121.51,17.9
177.55,2013.43,26.77,1313.41,2.56,24.97,121.53,40.08
166.82,2013.48,9.74,1688.44,4.41,24.96,121.53,44.37
316.52,2012.67,2.1,2039.4,0.84,24.96,121.54,25.96
31.42,2013.46,11.3,23.38,6.86,25.0,121.54,59.8
120.47,2013.03,11.91,1221.86,5.58,24.98,121.51,38.64
266.06,2012.86,28.79,3094.7,1.07,24.94,121.51,17.63
258.92,2013.18,36.02,884.57,3.69,24.97,121.55,45.39
8.43,2013.31,28.17,659.91,6.49,24.95,121.55,51.66
124.52,2013.44,0.0,792.35,4.52,24.99,121.52,43.86
210.37,2013.31,16.32,1101.49,5.48,24.97,121.54,40.13
195.86,2012.76,12.67,184.09,10.0,24.99,121.55,30.96
252.55,2012.67,35.65,651.41,7.54,24.97,121.52,37.49
341.38,2012.91,20.44,1994.83,4.98,24.96,121.53,23.41
153.13,2012.93,16.1,1981.05,4.28,24.97,121.52,20.3
356.66,2012.87,8.68,1495.75,4.87,24.97,121.54,41.69
137.46,2012.67,22.0,23.38,9.92,24.98,121.55,30.45
160.59,2013.05,12.75,396.01,3.96,24.97,121.54,34.53
411.58,2013.12,27.46,1472.52,2.28,24.96,121.53,19.84
301.55,2013.58,20.02,402.83,4.9,24.98,121.53,51.34
89.45,2013.5,0.0,1406.9,7.21,24.96,121.53,38.93
293.52,2013.58,19.28,1737.39,5.1,24.97,121.54,39.73
82.91,2012.95,14.88,23.38,2.58,24.96,121.55,21.27
193.84,2013.39,0.0,357.48,3.03,24.97,121.53,60.95
1.0,2012.93,13.69,292.38,4.47,24.99,121.55,53.69
238.28,2013.47,15.18,166.16,4.48,24.97,121.54,39.32
77.25,2013.58,7.46,1790.26,3.08,24.97,121.52,35.33
359.76,2012.88,23.34,1426.73,2.63,24.96,121.53,19.73
267.73,2013.27,19.01,2268.21,3.74,24.97,121.52,33.19
312.5,2013.12,21.92,2668.94,0.0,24.98,121.52,28.4
100.57,2012.73,12.07,1420.74,3.99,24.98,121.52,28.3
34.36,2013.29,4.35,521.5,6.54,24.97,121.55,57.03
301.0,2013.39,16.48,23.38,2.21,24.98,121.54,45.05
126.83,2012.98,27.67,1021.28,3.39,24.96,121.51,28.57
272.11,2012.82,26.39,279.07,6.95,24.99,121.54,43.62
152.43,2013.52,20.28,33.23,4.57,24.98,121.52,37.45
254.87,2012.67,12.88,310.53,3.48,24.97,121.55,42.83
297.13,2012.97,8.64,23.38,6.22,24.97,121.54,36.24
266.83,2012.67,18.29,4273.15,0.0,24.95,121.5,7.6
73.85,2012.84,7.48,1829.2,0.48,24.97,121.52,34.81
190.26,2013.32,9.28,873.05,4.41,24.97,121.53,53.76
201.6,2012.67,28.23,1324.96,1.55,24.96,121.53,21.8
18.34,2013.11,18.05,1398.37,2.17,24.96,121.53,33.87
328.59,2013.58,19.76,2439.13,0.06,24.96,121.52,34.03
212.71,2013.58,14.63,3059.63,2.94,24.96,121.52,7.6
124.45,2012.93,17.8,23.38,9.26,24.98,121.54,53.38
332.54,2013.1,36.92,3414.67,1.18,24.95,121.51,15.83
36.76,2012.97,13.34,23.38,4.75,24.98,121.54,41.19
47.39,2012.75,12.93,1894.84,2.7,24.95,121.52,28.63
378.78,2013.35,19.22,1033.46,2.78,24.98,121.55,43.79
414.0,2012.93,29.37,513.27,2.18,24.96,121.54,24.88
346.05,2013.11,0.0,1079.54,4.04,24.98,121.55,40.48
289.52,2012.96,29.21,771.99,0.6,24.96,121.54,35.83
94.61,2013.11,21.04,2849.92,0.65,24.97,121.51,31.08
269.8,2013.37,3.46,2408.67,0.0,24.97,121.51,35.53
266.44,2013.26,18.63,261.76,3.68,24.96,121.53,38.46
152.46,2013.46,17.46,3264.16,0.0,24.96,121.53,21.81
129.34,2013.48,15.32,1587.54,4.82,24.96,121.52,19.27
259.64,2012.95,7.1,3209.31,1.64,24.97,121.52,29.61
39.94,2013.09,23.22,2947.18,0.06,24.96,121.52,18.15
67.25,2013.58,14.4,1051.5,2.88,24.99,121.54,45.33
